pregunta,query,answer
¿Cuál es la diferencia entre probabilidad clásica y frecuentista?,Es el conjunto de elementos que cumplen con ciertas características de interés.,"Sí, es una buena respuesta, aunque puede ampliarse."
¿Cuál es la diferencia entre probabilidad clásica y frecuentista?,"La probabilidad clásica es cuando pasa algo muchas veces, y la frecuentista es cuando no pasa mucho.","No, la respuesta no es correcta porque contiene errores conceptuales."
¿Cómo se calcula el valor esperado de una variable binomial?,Cuando hay valores extremos o la distribución no es simétrica.,"No, la espuesta no es correcta no explica como se calcula"
¿Cómo se calcula el valor esperado de una variable binomial?,El valor esperado se calcula dividiendo la media entre el número de ensayos.,"No, la respuesta no es correcta porque contiene errores conceptuales."
¿Qué características definen una variable aleatoria discreta?,"La descriptiva describe datos con gráficos y medidas, la inferencial saca conclusiones sobre una población.","Sí, es una buena respuesta, aunque puede ampliarse."
¿Qué características definen una variable aleatoria discreta?,No lo sé.,"No, la respuesta no aporta una explicación válida."
¿Qué es el espacio muestral y cómo se define?,Multiplicando la probabilidad de éxito por el número total de intentos.,"Sí, es una buena respuesta, aunque puede ampliarse."
¿Qué es el espacio muestral y cómo se define?,Es la media de los resultados posibles.,"No, la respuesta no es correcta porque contiene errores conceptuales."
¿Cuál es la diferencia entre estadística descriptiva e inferencial?,Es el conjunto de elementos que cumplen con ciertas características de interés.,"Sí, es una buena respuesta, aunque puede ampliarse."
¿Cuál es la diferencia entre estadística descriptiva e inferencial?,"La descriptiva hace predicciones, la inferencial solo resume los datos.","No, la respuesta no es correcta porque contiene errores conceptuales."
¿Qué tipos de gráficos se usan para representar datos cualitativos?,"Creo que la clásica se basa en suposiciones teóricas, mientras que la frecuentista usa datos observados.","Sí, es una buena respuesta, aunque puede ampliarse."
¿Qué tipos de gráficos se usan para representar datos cualitativos?,No lo sé.,"No, la respuesta no aporta una explicación válida."
¿Qué significa el término “población” en estadística?,"Gráfico de barras o circular, para mostrar categorías.","Sí, es una buena respuesta, aunque puede ampliarse."
¿Qué significa el término “población” en estadística?,Es la cantidad total de datos en una tabla.,"No, la respuesta no es correcta porque contiene errores conceptuales."
¿Qué condiciones deben cumplirse para que la media sea una buena medida de centralización?,Es el conjunto de elementos que cumplen con ciertas características de interés.,"Sí, es una buena respuesta, aunque puede ampliarse."
¿Qué condiciones deben cumplirse para que la media sea una buena medida de centralización?,No lo sé.,"No, la respuesta no aporta una explicación válida."
¿Qué criterios se usan para determinar si un valor es un outlier?,Debe haber simetría en los datos y no deben existir valores extremos.,"Sí, es una buena respuesta, aunque puede ampliarse."
¿Qué criterios se usan para determinar si un valor es un outlier?,Es un valor que siempre se repite.,"No, la respuesta no es correcta porque contiene errores conceptuales."
¿Qué métodos se pueden usar para detectar valores atípicos?,Cuando hay valores extremos o la distribución no es simétrica.,"Sí, es una buena respuesta, aunque puede ampliarse."
¿Qué métodos se pueden usar para detectar valores atípicos?,No lo sé.,"No, la respuesta no aporta una explicación válida."
¿En qué situaciones es preferible usar la mediana en lugar de la media?,Es una variable que toma valores contables y tiene una probabilidad asociada a cada uno.,"Sí, es una buena respuesta, aunque puede ampliarse."
¿En qué situaciones es preferible usar la mediana en lugar de la media?,No lo sé.,"No, la respuesta no aporta una explicación válida."
