pregunta,query,answer
¿Qué mide la varianza en un conjunto de datos?,La varianza en un conjunto de datos mide la dispersión de los valores con respecto a la media.,"No, Porque no define correctamente la varianza"
¿Qué representa una probabilidad de 0.8?,Una probabilidad de 0.8 representa la posibilidad de que un evento ocurra con una alta certeza.,Sí. Porque indica que hay una probabilidad alta (un 80 %) de que el evento ocurra.
¿Qué es un evento mutuamente excluyente?,Un evento mutuamente excluyente es cuando dos eventos no pueden ocurrir al mismo tiempo,"No, respuesta incompleta"
¿Qué es una variable aleatoria?,Una variable aleatoria es una función que asigna un valor numérico a cada resultado posible de un experimento aleatorio,"Sí, porque describe correctamente que una variable aleatoria es la función que asigna valores numéricos a los resultados de un experimento aleatorio."
¿Qué indica la media de un conjunto de datos?,La media de un conjunto de datos indica el valor promedio de todos los datos en ese conjunto.,"Sí. Porque define correctamente el valor promedio de todos los datos, igual que la respuesta esperada."
¿Qué diferencia hay entre una población y una muestra?,"Una población es el conjunto completo de individuos o elementos que queremos estudiar, mientras que una muestra es una parte representativa de esa población que utilizamos para realizar inferencias sobre la misma.",Sí. Porque describe correctamente que la población es el conjunto completo y la muestra un subconjunto representativo.
¿Qué es un espacio muestral?,El espacio muestral es el conjunto de todos los posibles resultados de un experimento aleatorio,Sí. Porque define correctamente el espacio muestral como el conjunto de todos los posibles resultados de un experimento aleatorio.
¿Cuál es el propósito de un intervalo de confianza?,El propósito de un intervalo de confianza es estimar el rango en el que se encuentra el verdadero valor de un parámetro poblacional con cierto nivel de confianza.,Sí. Porque define un rango de valores que con un nivel de confianza dado contiene el verdadero parámetro poblacional.
¿Qué significa que dos eventos sean independientes?,Dos eventos son independientes cuando la ocurrencia de uno no afecta la probabilidad de que ocurra el otro.,"No, respuesta incompleta"
¿Qué es un experimento aleatorio?,"Un experimento aleatorio es un proceso en el que el resultado no se puede predecir con certeza, ya que está sujeto a la incertidumbre y al azar.",Sí. Porque define correctamente un proceso cuyo resultado no puede preverse con certeza.
¿Qué describe la desviación estándar?,La desviación estándar es una medida de dispersión que indica cuánto se alejan los datos de la media en promedio.,Sí. La respuesta coincide con la definición de desviación estándar como medida de la dispersión media de los datos respecto a la media.
¿Qué es una distribución binomial?,Una distribución binomial es un tipo de distribución de probabilidad que describe el número de éxitos en una serie de ensayos independientes,Sí. Porque define el número de éxitos en ensayos independientes con solo dos posibles resultados (éxito o fracaso).
¿Qué se entiende por probabilidad condicional?,"La probabilidad condicional es la probabilidad de que ocurra un evento A dado que ya ocurrió otro evento B. Es como calcular la probabilidad de sacar una carta roja de una baraja, sabiendo que ya se sacó una carta de corazones.",Sí. La definición coincide con la idea de calcular la probabilidad de un evento A asumiendo que ya ocurrió el evento B.
¿Qué es un diagrama de dispersión?,"Un diagrama de dispersión es una representación gráfica de la relación entre dos variables, donde cada punto en el gráfico representa un par de valores de las variables.",Sí. Porque describe adecuadamente un gráfico que muestra la relación entre dos variables cuantitativas mediante puntos.
¿Qué representa un coeficiente de correlación cercano a 1?,Un coeficiente de correlación cercano a 1 indica una relación positiva fuerte entre las dos variables,"No, respuesta incompleta"
¿Qué es un error tipo I en una prueba de hipótesis?,Un error tipo I en una prueba de hipótesis ocurre cuando rechazamos incorrectamente una hipótesis nula que en realidad es verdadera.,"Sí, porque define correctamente el error tipo I como rechazar la hipótesis nula cuando en realidad es verdadera."
¿Qué es un error tipo II en una prueba de hipótesis?,"Un error tipo II en una prueba de hipótesis ocurre cuando se acepta la hipótesis nula cuando en realidad es falsa. Es decir, se concluye que no hay efecto o diferencia cuando realmente sí la hay.",Sí. Porque describe correctamente el no rechazar la hipótesis nula cuando en realidad es falsa.
¿Qué es un percentil?,Un percentil es una medida estadística que indica el porcentaje de datos que están por debajo de un valor específico en una distribución.,Sí. Porque describe el valor que delimita el porcentaje de datos que quedan por debajo en una distribución.
¿Qué indica una distribución sesgada a la derecha?,"Una distribución sesgada a la derecha indica que la cola de la distribución se encuentra hacia la derecha, lo que significa que hay valores extremadamente altos que afectan la media hacia arriba.","Sí, porque describe correctamente que la cola es más larga hacia valores mayores y que estos extremos elevan la media."
¿Qué es un modelo de regresión lineal?,"Un modelo de regresión lineal es una técnica estadística que se utiliza para estudiar la relación entre una variable dependiente y una o más variables independientes, con el objetivo de predecir valores futuros.","No, porque no menciona que la relación se describe específicamente mediante una línea recta."
¿Para qué se utiliza el Teorema de Bayes?,El Teorema de Bayes se utiliza para actualizar la probabilidad de un evento dado cierta información previa.,"No, porque solo menciona calcular probabilidades condicionales y no el proceso de actualización con nueva evidencia."
¿Qué es una distribución normal?,Una distribución normal es una distribución de probabilidad que tiene forma de campana y está centrada en su media. Es importante en estadística porque muchas variables en la naturaleza siguen este patrón.,Sí. Define correctamente su forma de campana y simetría en torno a la media.
